file,score
Turnwheel.STEP,1.0
Colson-2.04256.445 COND BRK5MTG59_series 2 fork(4).STEP.STEP,1.0
9708-0496_SSTB208012-1005_1.STEP,1.0
0000038455.STEP,1.0
Base.STEP,1.0
PAN HEAD SCREW M6 x 30_BS EN ISO 1580 - M6 x 30 - 30C.STEP.STEP.STEP.STEP.STEP,1.0
CHAMFER5_1_2.STEP,1.0
Table.STEP,1.0
PAN HEAD SCREW M6 x 30_BS EN ISO 1580 - M6 x 30 - 30C.STEP,1.0
MAIN FRAME_Default_As Machined_.STEP.STEP,1.0
0000026437.STEP,1.0
0000026075.STEP,1.0
Colson-2.04256.445 COND BRK5MTG59_52023_10.STEP.STEP,1.0
Colson-2.04256.445 COND BRK5MTG59_52023_14.STEP.STEP,1.0
0000025830.STEP,1.0
Colson-2.04256.445 COND BRK5MTG59_52023_20.STEP.STEP,1.0
Right support.STEP,1.0
Cylinder and valve.STEP,1.0
0000023602.STEP,1.0
HAND LOCK NUT.STEP.STEP,1.0
Fluted Column.STEP,1.0
FILLET4_1_2.STEP,1.0
Colson-2.04256.445 COND MTG59_series 2 fork(4).STEP.STEP,1.0
Shaft Support left.STEP,0.9999998807907104
0000025838.STEP,0.9999998807907104
0000034002.STEP,0.9999977350234984
Cylinder rod.STEP,0.9999934434890748
MODIFIED TORCH BODY - LOWER.STEP.STEP.STEP.STEP.STEP,0.9999779462814332
Colson-2.04256.445 COND MTG59_52023_00.STEP.STEP,0.999975562095642
0000025923.STEP,0.999962329864502
"BULB (longer, too long).STEP",0.99996018409729
0000025890.STEP,0.9999555349349976
0000025575.STEP,0.9999395608901978
0000026292.STEP,0.9999340772628784
0000026291.STEP,0.9999337196350098
"BULB (bigger, but fits into the space).STEP",0.9998952150344848
TORCH BODY - LOWER.STEP,0.9998486042022704
0000036455.STEP,0.9997331500053406
Horizontal valve lever.STEP,0.9997114539146424
0000051671.STEP,0.9996398687362672
Flywheel.STEP,0.9996161460876464
0000051669.STEP,0.9995110034942628
0000025781.STEP,0.9994766116142272
9711-9350_SSTB2080-999_1.STEP,0.9993452429771424
0000026074.STEP,0.9992796778678894
0000025862.STEP,0.9991538524627686
F-NSH-M8.STEP,0.9989866614341736
