file,score
0000023602.STEP,1.0
Colson-2.04256.445 COND BRK5MTG59_52023_10.STEP.STEP,1.0
HAND LOCK NUT.STEP.STEP,1.0
Fluted Column.STEP,0.9999996423721313
Turnwheel.STEP,0.9999994039535522
PAN HEAD SCREW M6 x 30_BS EN ISO 1580 - M6 x 30 - 30C.STEP.STEP.STEP.STEP.STEP,0.9999905824661255
Right support.STEP,0.9999450445175171
Cylinder rod.STEP,0.9999170303344727
PAN HEAD SCREW M6 x 30_BS EN ISO 1580 - M6 x 30 - 30C.STEP,0.99983811378479
"BULB (longer, too long).STEP",0.9997149109840393
0000026075.STEP,0.99968421459198
0000025923.STEP,0.9996745586395264
0000025890.STEP,0.9996500015258789
"BULB (bigger, but fits into the space).STEP",0.9996427297592163
0000026291.STEP,0.9996131062507629
0000026292.STEP,0.9993946552276611
Horizontal valve lever.STEP,0.9988813996315002
0000025575.STEP,0.9985407590866089
0000051671.STEP,0.9983323216438293
Flywheel.STEP,0.9980624318122864
0000026074.STEP,0.9979149699211121
0000025862.STEP,0.9978654980659485
Valve rod.STEP,0.9977965354919434
0000025781.STEP,0.9976860284805298
F-NSH-M8.STEP,0.9975320100784302
0000051669.STEP,0.9975034594535828
TORCH BODY - UPPER.STEP.STEP.STEP.STEP.STEP,0.9970976114273071
0000025830.STEP,0.9955489635467529
TORCH BODY - UPPER.STEP,0.9955417513847351
9711-9350_SSTB2080-999_1.STEP,0.9947675466537476
Colson-2.04256.445 COND BRK5MTG59_axle nut.STEP.STEP,0.9947323799133301
Colson-2.04256.445 COND MTG59_axle nut.STEP.STEP,0.9947167038917542
Cylinder rod left vertical bar.STEP,0.9937193393707275
BULB HOUSING.STEP,0.9933487772941589
0000034002.STEP,0.9926983714103699
FILLET4_1.STEP,0.9918584227561951
Pressure pipe.STEP,0.9914610385894775
MODIFIED BULB HOUSING.STEP.STEP.STEP.STEP.STEP,0.9905515909194946
"BULB (wider neck, too wide).STEP",0.9863731861114502
Right horizontal valve lever base.STEP,0.9862754344940186
Colson-2.04256.445 COND BRK5MTG59_mtg style(MTG59).STEP.STEP,0.9822471737861633
TORCH BODY - LOWER.STEP,0.9815841317176819
9844-0409-02_1.STEP,0.9806255102157593
0000026052.STEP,0.980183482170105
0000024731.STEP,0.9772014617919922
0000024732.STEP,0.9668527841567993
M6 HEX NUT_BS EN 24034 - M6 - C.STEP.STEP.STEP.STEP.STEP,0.9647546410560608
HEXAGON NUT M10_ISO - 4032 - M10 - W - C.STEP.STEP,0.9642094969749451
M6 HEX NUT_BS EN 24034 - M6 - C.STEP,0.9631407260894775
SEATING RING.STEP.STEP,0.9620617628097534
Colson-2.04256.445 COND BRK5MTG59_axle bolt(Brakes).STEP.STEP,0.9579957127571106
0000034051.STEP,0.9575327038764954
0000034048.STEP,0.9573008418083191
CHAMFER5_1_2.STEP,0.9571237564086914
0000034053.STEP,0.9564261436462402
CLAMP SUPPORT.STEP.STEP,0.9561314582824707
HEX HD SCREW M10 x 90_ISO 4017 - M10 x 90-C.STEP.STEP,0.9551743865013123
HEX HD SCREW M10 x 90_ISO 4017 - M8 x 20-C.STEP.STEP,0.9531803727149963
Colson-2.04256.445 COND MTG59_axle bolt(No brakes).STEP.STEP,0.9513399004936218
C.STEP,0.9508381485939026
Part6.STEP.STEP,0.9493188858032227
Left valve lever.STEP,0.9480863213539124
BRACKET_S_40_45_WITH_FASTENING_.STEP,0.9464148879051208
LOCATING SPIGOT.STEP.STEP,0.9448869228363037
Right Valve lever.STEP,0.944409966468811
CLAMPING PLATE.STEP.STEP,0.942606508731842
Flywheel shaft.STEP,0.9393341541290283
0000055277.STEP,0.9391119480133057
9708-0496_SSTB208012-1005_1.STEP,0.935513973236084
0000055621.STEP,0.934600830078125
0000024773.STEP,0.9318755865097046
0000024693.STEP,0.9289422035217285
Centre shaft.STEP,0.9275028109550476
54045.STEP,0.9267613291740417
0000031612.STEP,0.9236385226249695
0000036446.STEP,0.9221723675727844
0000032584.STEP,0.9137248396873474
0000037984.STEP,0.9133257269859314
Support Bar nut.STEP,0.9124773740768433
0000024737.STEP,0.9120978713035583
0000024698.STEP,0.9110611081123352
0000024777.STEP,0.9106459021568298
Flywheel end shaft.STEP,0.9105333685874939
0000032576.STEP,0.9104997515678406
0000024730.STEP,0.9099461436271667
